iter	Passed	Remaining
869	21672	3238
870	21693	3212
871	21720	3188
872	21750	3164
873	21773	3138
874	21795	3113
875	21816	3088
876	21837	3062
877	21857	3037
878	21879	3011
879	21900	2986
880	21932	2962
881	21958	2937
882	21998	2914
883	22036	2891
884	22075	2868
885	22105	2844
886	22156	2822
887	22181	2797
888	22216	2773
889	22239	2748
890	22261	2723
891	22288	2698
892	22314	2673
893	22336	2648
894	22357	2622
895	22386	2598
896	22409	2573
897	22430	2547
898	22451	2522
899	22473	2497
900	22494	2471
901	22515	2446
902	22536	2420
903	22557	2395
904	22578	2370
905	22611	2346
906	22633	2320
907	22655	2295
908	22676	2270
909	22697	2244
910	22717	2219
911	22738	2194
912	22759	2168
913	22780	2143
914	22802	2118
915	22831	2093
916	22854	2068
917	22875	2043
918	22896	2018
919	22917	1992
920	22938	1967
921	22960	1942
922	22981	1917
923	23002	1891
924	23024	1866
925	23054	1842
926	23078	1817
927	23101	1792
928	23122	1767
929	23144	1742
930	23166	1716
931	23188	1691
932	23209	1666
933	23230	1641
934	23254	1616
935	23285	1592
936	23309	1567
937	23332	1542
938	23355	1517
939	23379	1492
940	23403	1467
941	23433	1442
942	23459	1418
943	23488	1393
944	23520	1368
945	23545	1344
946	23571	1319
947	23594	1294
948	23616	1269
949	23638	1244
950	23660	1219
951	23682	1194
952	23703	1169
953	23728	1144
954	23760	1119
955	23792	1095
956	23825	1070
957	23858	1045
958	23889	1021
959	23920	996
960	23958	972
961	23983	947
962	24008	922
963	24031	897
964	24056	872
965	24080	847
966	24102	822
967	24125	797
968	24148	772
969	24177	747
970	24204	722
971	24228	697
972	24252	673
973	24276	648
974	24307	623
975	24330	598
976	24353	573
977	24376	548
978	24409	523
979	24442	498
980	24466	473
981	24490	448
982	24514	423
983	24535	398
984	24558	373
985	24581	349
986	24606	324
987	24638	299
988	24661	274
989	24684	249
990	24713	224
991	24747	199
992	24779	174
993	24809	149
994	24846	124
995	24884	99
996	24910	74
997	24938	49
998	24967	24
999	24991	0
